id,name,vendor,type,segment,condition,warranty_tag,cpu,ram,ssd,gpu,screen,price,compare_at,stock_tracked,qty,url
55213984,[Like New] Dell Latitude 9410 2in1 Core i7-10610U |  16GB | 512GB | 14 inch FHD,Dell,Laptop,Xoay gập,Likenew,6 Tháng,intel Core i7- 10610U,16GB DDR4,512GB Nvme,onboard,14inch,13680000,16280000,yes,8,https://laptoptv.vn/laptop-cu-dell-latitude-9410-2in1-core-i7-10610u-16gb-512gb-14-inch-fhd
55827829,Laptop cũ HP Elitebook X360 1040 G7 Core i7-10610U| 16GB | 512GB | 14 inch FHD Cảm ứng,HP,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7,16GB,512GB,Intel Graphics,14 inch,13690000,18890000,no,0,https://laptoptv.vn/laptop-cu-hp-elitebook-x360-1040-g7-core-i7-10610u-16gb-512gb-14-inch-fhd-cam-ung
44712813,Laptop cũ  Dell XPS 9365 2in1 Core i7-8500Y | 16GB | 256GB | 13.3 inch  Cảm ứng,Dell,Laptop,Xoay gập,Cũ,6 Tháng,Intel Core i7,16GB DDR4,M.2 NMVe 256GB,Intel Graphics,13.3 inch FHD,13880000,16980000,no,0,https://laptoptv.vn/laptop-cu-cao-cap-dell-xps-9365-2in1-cam-ung-core-i7-8500y-16gb-256gb-man-hinh-13-3-inch-xoay-ga-p-360
55213837,[Like New] Dell Latitude 7420 2in1 [Vỏ nhôm] Core i7-1165G7 | 16GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1165G7,16GB DDR4,512GB Nvme,Intel Graphics,14 inch FHD Cảm ứng,13980000,16480000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7420-2in1-vo-nhom-core-i7-1165g7-16gb-512gb-14-inch-fhd-cam-ung
44713036,[Like New] Dell Latitude 9510 2in1 Core i7-10810U | 16GB | 256GB | 15.6 FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-10810U,16GB DDR4,256GB NVMe,Intel Graphics,15.6 inch FHD Cảm ứng,14280000,16980000,no,0,https://laptoptv.vn/dell-latitude-9510-2in1-core-i7-10810u-16gb-256gb-man-hinh-15-6-fhd-cam-ung
44712717,[New 100%]Laptop Dell Inspiron 7425 2in1 Ryzen 5- 5625U | 8GB | 512GB | 14 inch FHD+ Cảm ứng,Dell,Laptop,Xoay gập,Mới,12 Tháng,Ryzen 5 5625U,8GB DDR4,256GB NVMe PCIe,onboard,14 inch FHD+ Cảm ứng,14280000,18990000,no,0,https://laptoptv.vn/dell-inspiron-7425-2in1-cam-ung-ryzen-5-5625u-8gb-512gb-xoay-ga-p-360
44712669,[Like New] Dell Latitude 9520 2in1 Core i5-1145G7 | 16GB | 256GB | 15.6 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i5-1145G7,16GB onboard,256GB Nvme,Intel Iris Xe Graphics,15 inch FHD Cảm ứng,14290000,15890000,yes,4,https://laptoptv.vn/like-new-dell-latitude-9520-2in1-core-i5-1145g7-16gb-256gb-15-6-inch-fhd-cam-ung
44712649,[New 100%] HP Envy 14 2in1 2023 Core i5-1335U | 8GB | 512GB | 14 inch FHD Touch,HP,Laptop,Xoay gập,Mới,12 Tháng,Intel Core i5-1335U,8GB DDR5 4800Mhz,SSD M.2 NMVe 512GB,Iris Xe Graphics,"14"" FHD Cảm ứng",14290000,18690000,no,0,https://laptoptv.vn/hp-envy-14-2in1-2023-cam-ung-core-i5-1335u-8gb-512gb-xoay-ga-p-360
47442596,[Like New] Dell Latitude 7420 2in1 [Vỏ Carbon] Core i7-1185G7 | 32GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1185G7,32GB DDR4,256GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,14480000,15480000,no,0,https://laptoptv.vn/laptop-cu-dell-latitude-7420-2in1-vo-carbon-core-i7-1185g7-32gb-512gb-14-inch-fhd-cam-ung
44712654,[New 100%] Laptop HP ENVY 15 2023 x360  Ryzen 5-7530U | 8GB  | 256GB  | 15.6inch FHD Cảm ứng,HP,Laptop,Xoay gập,Mới,12 Tháng,Ryzen 5-7530U,8GB DDR5,256GB NVMe PCIe,onboard,15.6 inch FHD Cảm ứng,14490000,18680000,no,0,https://laptoptv.vn/hp-envy-15-2023-x360-cam-ung-ryzen-5-7530u-8gb-256gb
44712867,Laptop cũ Lenovo Thinkpad X1 Yoga Gen 5 Core i7-10510U | 16GB | 512GB | 14 inch 2K Cảm ứng,Lenovo,Laptop,Xoay gập,Cũ,6 Tháng,intel Core i7-10510U,16GB DDR4,M.2 NMVe 512GB,Intel Graphics,14inch 2K,14780000,19580000,no,0,https://laptoptv.vn/laptop-cu-cao-cap-lenovo-thinkpad-x1-yoga-gen-5-core-i7-10510u-16gb-512gb-2k-cam-ung-xoay-gap-360
90317286,[Like New] Dell Latitude 7410 2in1 [Vỏ nhôm] Core i7-10610U | 32GB | 512GB | 14 inch FHD Cảm ứng,Dell,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-10610U,32GB DDR4,512GB NVMe,Intel Graphics,14 inch FHD Cảm ứng,14880000,19860000,no,0,https://laptoptv.vn/like-new-dell-latitude-7410-2in1-vo-nhom-core-i7-10610u-16gb-512gb-14-inch-fhd-cam-ung
55789099,[Like New] Surface Laptop 4 i7- 1185G7 | 16GB | 512GB  | 13.5 inch 2K Cảm ứng,Samsung,Laptop,Xoay gập,Likenew,6 Tháng,Intel Core i7-1185G7,,512GB Nvme,onboard,13.5 inch 2K Cảm ứng,14880000,29890000,yes,4,https://laptoptv.vn/new100-surface-laptop-4-i7-1185g7-16gb-512gb-13-5-inch-2k-cam-ung
